Time,Temp,DSC
730.00,268.69,-0.27
731.00,269.02,-0.28
732.00,269.36,-0.29
733.00,269.70,-0.30
734.00,270.03,-0.31
735.00,270.37,-0.32
736.00,270.70,-0.33
737.00,271.04,-0.34
738.00,271.37,-0.35
739.00,271.71,-0.36
740.00,272.05,-0.37
741.00,272.38,-0.38
742.00,272.72,-0.39
743.00,273.05,-0.39
744.00,273.39,-0.40
745.00,273.73,-0.41
746.00,274.06,-0.42
747.00,274.40,-0.42
748.00,274.73,-0.43
749.00,275.07,-0.44
750.00,275.40,-0.45
751.00,275.74,-0.45
752.00,276.07,-0.46
753.00,276.41,-0.47
754.00,276.74,-0.48
755.00,277.08,-0.48
756.00,277.41,-0.49
757.00,277.75,-0.50
758.00,278.08,-0.51
759.00,278.42,-0.51
760.00,278.76,-0.52
761.00,279.09,-0.53
762.00,279.43,-0.53
763.00,279.77,-0.54
764.00,280.10,-0.55
765.00,280.44,-0.56
766.00,280.78,-0.56
767.00,281.11,-0.57
768.00,281.45,-0.58
769.00,281.79,-0.58
770.00,282.12,-0.59
771.00,282.46,-0.59
772.00,282.80,-0.60
773.00,283.13,-0.60
774.00,283.47,-0.61
775.00,283.80,-0.61
776.00,284.14,-0.62
777.00,284.47,-0.62
778.00,284.81,-0.63
779.00,285.15,-0.63
780.00,285.48,-0.63
781.00,285.82,-0.64
782.00,286.16,-0.64
783.00,286.49,-0.65
784.00,286.83,-0.65
785.00,287.16,-0.65
786.00,287.50,-0.66
787.00,287.84,-0.66
788.00,288.17,-0.66
789.00,288.51,-0.67
790.00,288.84,-0.67
791.00,289.18,-0.68
792.00,289.52,-0.68
793.00,289.85,-0.68
794.00,290.19,-0.69
795.00,290.52,-0.69
796.00,290.86,-0.69
797.00,291.19,-0.70
798.00,291.53,-0.70
799.00,291.86,-0.70
800.00,292.20,-0.70
801.00,292.53,-0.70
802.00,292.87,-0.71
803.00,293.21,-0.71
804.00,293.54,-0.71
805.00,293.88,-0.71
806.00,294.22,-0.71
807.00,294.55,-0.71
808.00,294.89,-0.72
809.00,295.23,-0.72
810.00,295.57,-0.72
811.00,295.91,-0.72
812.00,296.24,-0.72
813.00,296.58,-0.72
814.00,296.91,-0.73
815.00,297.25,-0.73
816.00,297.58,-0.73
817.00,297.91,-0.73
818.00,298.20,-0.73
819.00,298.45,-0.72
820.00,298.66,-0.69
821.00,298.84,-0.64
822.00,298.97,-0.56
823.00,299.08,-0.46
824.00,299.17,-0.34
825.00,299.24,-0.20
826.00,299.29,-0.05
827.00,299.33,0.10
828.00,299.37,0.24
829.00,299.39,0.38
830.00,299.41,0.51
831.00,299.42,0.63
832.00,299.43,0.73
833.00,299.44,0.82
834.00,299.45,0.90
835.00,299.46,0.96
836.00,299.46,1.01
837.00,299.46,1.06
838.00,299.47,1.09
839.00,299.47,1.12
840.00,299.47,1.14
841.00,299.48,1.16
842.00,299.48,1.17
843.00,299.48,1.18
844.00,299.48,1.19
845.00,299.48,1.19
846.00,299.48,1.19
847.00,299.48,1.20
848.00,299.48,1.20
849.00,299.48,1.20
850.00,299.48,1.20
851.00,299.48,1.20
852.00,299.48,1.20
853.00,299.49,1.19
854.00,299.49,1.19
855.00,299.49,1.19
856.00,299.49,1.19
857.00,299.49,1.19
858.00,299.49,1.18
859.00,299.49,1.18
860.00,299.49,1.18
861.00,299.49,1.18
862.00,299.49,1.18
863.00,299.49,1.18
864.00,299.49,1.17
865.00,299.49,1.17
866.00,299.49,1.17
867.00,299.49,1.17
868.00,299.49,1.17
869.00,299.49,1.17
870.00,299.49,1.17
871.00,299.49,1.17
